x,y,Exact u,Numerical w,Abs Error
0.0,0.0,0.0,0.0,0.0
0.0625,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.1875,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.3125,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.4375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5625,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.6875,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.8125,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
0.9375,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0625,0.0,0.0,0.0
0.0625,0.0625,0.390625,0.39062499999999967,3.3306690738754696e-16
0.125,0.0625,0.78125,0.7812499999999993,6.661338147750939e-16
0.1875,0.0625,1.171875,1.1718749999999991,8.881784197001252e-16
0.25,0.0625,1.5625,1.5624999999999987,1.3322676295501878e-15
0.3125,0.0625,1.953125,1.9531249999999987,1.3322676295501878e-15
0.375,0.0625,2.34375,2.3437499999999987,1.3322676295501878e-15
0.4375,0.0625,2.734375,2.7343749999999987,1.3322676295501878e-15
0.5,0.0625,3.125,3.1249999999999987,1.3322676295501878e-15
0.5625,0.0625,3.515625,3.5156249999999987,1.3322676295501878e-15
0.625,0.0625,3.90625,3.9062499999999987,1.3322676295501878e-15
0.6875,0.0625,4.296875,4.296875,0.0
0.75,0.0625,4.6875,4.6875,0.0
0.8125,0.0625,5.078125,5.078125,0.0
0.875,0.0625,5.46875,5.46875,0.0
0.9375,0.0625,5.859375,5.859375,0.0
1.0,0.0625,6.25,6.25,0.0
0.0,0.125,0.0,0.0,0.0
0.0625,0.125,0.78125,0.7812499999999992,7.771561172376096e-16
0.125,0.125,1.5625,1.5624999999999987,1.3322676295501878e-15
0.1875,0.125,2.34375,2.3437499999999982,1.7763568394002505e-15
0.25,0.125,3.125,3.124999999999997,3.1086244689504383e-15
0.3125,0.125,3.90625,3.906249999999997,3.1086244689504383e-15
0.375,0.125,4.6875,4.6874999999999964,3.552713678800501e-15
0.4375,0.125,5.46875,5.468749999999997,2.6645352591003757e-15
0.5,0.125,6.25,6.249999999999998,1.7763568394002505e-15
0.5625,0.125,7.03125,7.031249999999999,8.881784197001252e-16
0.625,0.125,7.8125,7.8124999999999964,3.552713678800501e-15
0.6875,0.125,8.59375,8.593749999999998,1.7763568394002505e-15
0.75,0.125,9.375,9.374999999999998,1.7763568394002505e-15
0.8125,0.125,10.15625,10.15625,0.0
0.875,0.125,10.9375,10.937500000000002,1.7763568394002505e-15
0.9375,0.125,11.71875,11.71875,0.0
1.0,0.125,12.5,12.5,0.0
0.0,0.1875,0.0,0.0,0.0
0.0625,0.1875,1.171875,1.171874999999999,1.1102230246251565e-15
0.125,0.1875,2.34375,2.343749999999998,2.220446049250313e-15
0.1875,0.1875,3.515625,3.515624999999997,3.1086244689504383e-15
0.25,0.1875,4.6875,4.687499999999996,4.440892098500626e-15
0.3125,0.1875,5.859375,5.859374999999995,5.329070518200751e-15
0.375,0.1875,7.03125,7.031249999999995,5.329070518200751e-15
0.4375,0.1875,8.203125,8.203124999999998,1.7763568394002505e-15
0.5,0.1875,9.375,9.375,0.0
0.5625,0.1875,10.546875,10.546874999999998,1.7763568394002505e-15
0.625,0.1875,11.71875,11.718749999999995,5.329070518200751e-15
0.6875,0.1875,12.890625,12.890624999999995,5.329070518200751e-15
0.75,0.1875,14.0625,14.062499999999996,3.552713678800501e-15
0.8125,0.1875,15.234375,15.234375000000004,3.552713678800501e-15
0.875,0.1875,16.40625,16.406250000000007,7.105427357601002e-15
0.9375,0.1875,17.578125,17.578125000000004,3.552713678800501e-15
1.0,0.1875,18.75,18.75,0.0
0.0,0.25,0.0,0.0,0.0
0.0625,0.25,1.5625,1.562499999999999,1.1102230246251565e-15
0.125,0.25,3.125,3.124999999999997,3.1086244689504383e-15
0.1875,0.25,4.6875,4.687499999999995,5.329070518200751e-15
0.25,0.25,6.25,6.249999999999994,6.217248937900877e-15
0.3125,0.25,7.8125,7.812499999999994,6.217248937900877e-15
0.375,0.25,9.375,9.374999999999993,7.105427357601002e-15
